Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
-0.899832	-0.0281015	0.151413	-0.147366	0.726233	-0.151413	-221.271	-92.7459	-0.0153978	5.28047	-2.47138	-0.00105381	21.2837	11.449	0.0113224	0.0344138	
-0.900099	-0.0286972	0.151793	-0.147098	0.726829	-0.151793	-238.226	-105.922	-0.0154394	5.17193	-2.43525	-0.00103441	21.2843	11.448	0.0113214	0.0344138	
-0.900353	-0.0285156	0.153246	-0.146845	0.726647	-0.153246	-235.705	-103.463	-0.0155056	4.64138	-2.14803	-0.000941915	21.2756	11.4596	0.0113347	0.0347441	
-0.902057	-0.0297194	0.15872	-0.14514	0.727851	-0.15872	-247.664	-108.764	-0.0160454	2.7805	-0.569979	-0.00066539	21.2515	11.4902	0.0113705	0.035735	
-0.902053	-0.0297148	0.158717	-0.145145	0.727847	-0.158717	-235.322	-104.069	-0.0154311	2.7735	-0.562202	-0.000664447	21.2514	11.4903	0.0113706	0.035735	
-0.903722	-0.031418	0.162942	-0.143475	0.72955	-0.162942	-249.606	-110.733	-0.0160296	1.42785	1.02322	-0.000501976	21.2364	11.5083	0.0113924	0.0363956	
-0.904082	-0.031989	0.163307	-0.143115	0.730121	-0.163307	-239.688	-106.589	-0.0155769	1.43769	0.971495	-0.000499905	21.2372	11.5067	0.011391	0.0363956	
-0.905374	-0.0334865	0.165835	-0.141824	0.731618	-0.165835	-247.8	-110.447	-0.0159147	0.810416	1.7854	-0.000429399	21.2306	11.5137	0.0114002	0.0367259	
-0.910224	-0.0392227	0.174217	-0.136973	0.737354	-0.174217	-281.356	-128.08	-0.017152	-0.852937	4.2233	-0.000256965	21.2128	11.5299	0.0114239	0.0377168	
-0.910229	-0.0392382	0.174227	-0.136969	0.73737	-0.174227	-238.35	-105.779	-0.0155692	-0.859446	4.23435	-0.000256404	21.2128	11.5299	0.0114239	0.0377168	
-0.914743	-0.0445284	0.18143	-0.132454	0.74266	-0.18143	-280.078	-127.678	-0.0171176	-1.97893	6.1512	-0.000155394	21.1995	11.5403	0.0114408	0.0385184	
-0.915184	-0.044947	0.181703	-0.132014	0.743079	-0.181703	-243.926	-108.837	-0.0157935	-1.82314	5.79383	-0.00016215	21.2004	11.5382	0.0114391	0.0385184	
-0.917903	-0.0478744	0.185492	-0.129294	0.746006	-0.185492	-264.774	-119.675	-0.0165935	-2.12889	6.28128	-0.00013036	21.1945	11.541	0.0114457	0.0389192	
-0.926825	-0.0568088	0.196968	-0.120373	0.75494	-0.196968	-320.273	-148.442	-0.0188581	-2.48253	6.62357	-7.31427e-05	21.1785	11.5454	0.011462	0.0401216	
-0.92685	-0.0568765	0.197009	-0.120347	0.755008	-0.197009	-244.805	-109.414	-0.0158194	-2.48663	6.63152	-7.2763e-05	21.1786	11.5453	0.0114619	0.0401216	
-0.935355	-0.0648242	0.207334	-0.111843	0.762956	-0.207334	-318.419	-147.263	-0.0188875	-2.41338	6.10868	-4.60674e-05	21.1648	11.547	0.0114749	0.0412153	
-0.935552	-0.0644001	0.207062	-0.111645	0.762532	-0.207062	-247.704	-110.559	-0.0160563	-2.14384	5.43623	-5.75274e-05	21.1649	11.5453	0.0114737	0.0412153	
-0.939676	-0.0673048	0.211522	-0.107522	0.765437	-0.211522	-280.881	-127.285	-0.0175063	-1.82808	4.50279	-5.97911e-05	21.1576	11.5454	0.0114799	0.0417621	
-0.951124	-0.0732279	0.22303	-0.0960731	0.77136	-0.22303	-335.583	-152.312	-0.020513	-0.730955	1.47103	-9.76884e-05	21.1337	11.5471	0.0114995	0.0434027	
-0.951283	-0.0734468	0.223173	-0.0959143	0.771579	-0.223173	-254.042	-114.278	-0.0162488	-0.715731	1.4246	-9.83183e-05	21.1341	11.5465	0.011499	0.0434027	
-0.958265	-0.0757485	0.229731	-0.088933	0.77388	-0.229731	-301.762	-135.243	-0.0190456	-0.0867403	-0.149114	-0.000150002	21.1169	11.5488	0.0115132	0.0444964	
-0.957648	-0.0745153	0.228892	-0.0895497	0.772647	-0.228892	-247.286	-110.012	-0.0161449	-0.0203155	-0.207961	-0.000160422	21.1157	11.5503	0.0115146	0.0444964	
-0.960198	-0.07409	0.231087	-0.0869994	0.772222	-0.231087	-268.606	-119.098	-0.0174491	0.245444	-0.708557	-0.000198583	21.1053	11.5542	0.0115241	0.0450433	
