Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.793282	-1.52915	0.332903	0.0793826	-0.0998193	0.0161628	0.223066	0.0378214	-0.036052	-0.000781658	-0.00107251	0.00323264	0.0520351	0.179861	-0.399492	0.376559	
0.797177	-1.53408	0.333703	0.0754879	-0.094894	0.0153631	0.354544	0.0702805	-0.0467059	-0.000648252	-0.000917414	0.00309205	0.0640707	0.176981	-0.399579	0.366667	
0.790064	-1.52508	0.332242	0.0826002	-0.10389	0.0168238	-0.00211065	-0.0165197	-0.0168574	-0.000908036	-0.00122055	0.00338173	0.0420967	0.182244	-0.39942	0.384664	
0.790026	-1.52503	0.332234	0.0826391	-0.10394	0.0168321	0.223291	0.0369185	-0.0369593	-0.000889891	-0.00119596	0.00331042	0.0419799	0.182276	-0.399419	0.384664	
0.788408	-1.52299	0.331901	0.0842571	-0.105988	0.0171648	0.17172	0.0242489	-0.0327789	-0.000976351	-0.00130041	0.00345856	0.0369865	0.183479	-0.399383	0.388717	
0.783119	-1.51629	0.330813	0.0895456	-0.112685	0.0182531	0.0512484	-0.00539597	-0.0231468	-0.00113913	-0.00148032	0.00348815	0.0206771	0.187416	-0.399262	0.400875	
0.783326	-1.51655	0.330855	0.0893389	-0.112424	0.0182106	0.225379	0.0352171	-0.0391999	-0.00115875	-0.00150713	0.00356733	0.0213155	0.187264	-0.399267	0.400875	
0.783692	-1.51701	0.330931	0.0889726	-0.11196	0.0181352	0.230667	0.0365255	-0.0396236	-0.00114244	-0.00148818	0.00355075	0.0224443	0.18699	-0.399275	0.4	
0.779932	-1.51225	0.330156	0.0927326	-0.116723	0.0189094	0.0972389	0.00447061	-0.0282279	-0.00131715	-0.00169113	0.00372701	0.0108571	0.189796	-0.399189	0.408981	
0.779892	-1.5122	0.330148	0.0927726	-0.116775	0.018918	0.214801	0.031717	-0.0391787	-0.00130326	-0.00167312	0.00368435	0.0107373	0.189829	-0.399188	0.408981	
0.778168	-1.51001	0.329792	0.0944971	-0.118962	0.0192734	0.160223	0.0185809	-0.0345543	-0.00139993	-0.00178674	0.00380097	0.00542825	0.19112	-0.399148	0.413033	
0.772714	-1.50309	0.328667	0.0999506	-0.125879	0.0203984	0.0387997	-0.0106645	-0.0243794	-0.00158442	-0.00199029	0.00382132	-0.0113482	0.195213	-0.39902	0.425191	
0.772844	-1.50326	0.328694	0.0998208	-0.125715	0.0203717	0.214127	0.029208	-0.0413067	-0.00161427	-0.00202847	0.00390368	-0.0109482	0.195116	-0.399023	0.425191	
